Zone,State,City,Name,Type,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Significance,Number of google review in lakhs,S.No.,2017 - Domestic,2017 - Foreign,2018 (R) - Domestic,2018 (R) - Foreign,Growth Rate - Domestic,Growth Rate - Foreign,Best Season to Visit
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Arambol Beach,Beach,2,4.6,0,Scenic,0.1,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Winter
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Summer
Southern,Goa,Goa,Palolem Beach,Beach,2,4.6,0,Scenic,0.27,11,6895234,842220,7081559,933841,2.7,10.88,Winter
